Q00_Identification,Q01_AI Perception 1,Q02_AI Perception 2,Q03_AI Representation 1,Q04_AI Representation 2,Q05_AI Conceptual,Q06_AI Conceptual 2,Q07_AI Interaction 1,Q08_AI Interaction 2,Q09_AI Societal Impact 1,Q10_AI Societal Impact 2
kndsj23,2 : Disagree,4 : Agree,2 : Disagree,4 : Agree,1 : Strongly disagree,3 : Not sure,1 : Strongly disagree,5 : Strongly agree,1 : Strongly disagree,4 : Agree
oglui14,4 : Agree,5 : Strongly agree,1 : Strongly disagree,3 : Not sure,1 : Strongly disagree,2 : Disagree,4 : Agree,5 : Strongly agree,1 : Strongly disagree,2 : Disagree
snlye06,4 : Agree,4 : Agree,4 : Agree,3 : Not sure,4 : Agree,3 : Not sure,5 : Strongly agree,5 : Strongly agree,4 : Agree,4 : Agree
thles14,2 : Disagree,2 : Disagree,2 : Disagree,4 : Agree,1 : Strongly disagree,1 : Strongly disagree,1 : Strongly disagree,5 : Strongly agree,3 : Not sure,4 : Agree
rnliyg07,2 : Disagree,3 : Not sure,2 : Disagree,4 : Agree,2 : Disagree,2 : Disagree,2 : Disagree,4 : Agree,4 : Agree,4 : Agree
axm22,2 : Disagree,4 : Agree,1 : Strongly disagree,4 : Agree,1 : Strongly disagree,1 : Strongly disagree,1 : Strongly disagree,5 : Strongly agree,1 : Strongly disagree,5 : Strongly agree
,3 : Not sure,4 : Agree,4 : Agree,4 : Agree,3 : Not sure,4 : Agree,3 : Not sure,3 : Not sure,3 : Not sure,3 : Not sure
bytac30,4 : Agree,4 : Agree,4 : Agree,4 : Agree,3 : Not sure,3 : Not sure,2 : Disagree,5 : Strongly agree,3 : Not sure,4 : Agree
brpms17,4 : Agree,3 : Not sure,4 : Agree,3 : Not sure,2 : Disagree,4 : Agree,2 : Disagree,4 : Agree,2 : Disagree,4 : Agree
Femsh28,4 : Agree,4 : Agree,2 : Disagree,5 : Strongly agree,1 : Strongly disagree,2 : Disagree,1 : Strongly disagree,5 : Strongly agree,1 : Strongly disagree,5 : Strongly agree
jueace07,2 : Disagree,4 : Agree,2 : Disagree,4 : Agree,4 : Agree,2 : Disagree,2 : Disagree,4 : Agree,2 : Disagree,4 : Agree
bgwgj22,4 : Agree,3 : Not sure,2 : Disagree,5 : Strongly agree,1 : Strongly disagree,2 : Disagree,2 : Disagree,5 : Strongly agree,3 : Not sure,5 : Strongly agree
mykav12,2 : Disagree,4 : Agree,4 : Agree,4 : Agree,2 : Disagree,2 : Disagree,1 : Strongly disagree,5 : Strongly agree,3 : Not sure,2 : Disagree
,5 : Strongly agree,5 : Strongly agree,5 : Strongly agree,5 : Strongly agree,5 : Strongly agree,5 : Strongly agree,5 : Strongly agree,5 : Strongly agree,5 : Strongly agree,5 : Strongly agree
